,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1968,36,SFO,NFL,14,7,6,1,0.538,1.3,2.5,-1.2,,,,,3.0,
1,1969,37,SFO,NFL,14,4,8,2,0.333,-0.3,0.9,-1.2,,,,,4.0,
2,1970,38,SFO,NFL,14,10,3,1,0.769,6.5,6.4,0.1,2.0,1.0,1.0,0.5,1.0,
3,1971,39,SFO,NFL,14,9,5,0,0.643,6.3,2.4,3.8,2.0,1.0,1.0,0.5,1.0,
4,1972,40,SFO,NFL,14,8,5,1,0.607,6.4,4.9,1.5,1.0,0.0,1.0,0.0,1.0,
5,1973,41,SFO,NFL,14,5,9,0,0.357,-0.2,1.4,-1.6,,,,,3.0,
6,1974,42,SFO,NFL,14,6,8,0,0.429,-2.6,-2.1,-0.5,,,,,2.0,
7,1975,43,SFO,NFL,14,5,9,0,0.357,-4.7,-2.2,-2.5,,,,,2.0,
8,1978,46,NOR,NFL,16,7,9,0,0.438,-1.7,-0.5,-1.2,,,,,3.0,
9,1979,47,NOR,NFL,16,8,8,0,0.5,-1.2,2.3,-3.5,,,,,2.0,
10,1980,48,NOR,NFL,12,0,12,0,0.0,-10.4,-1.1,-9.4,,,,,4.0,
11,11 yrs,11 yrs,,,156,69,82,5,0.457,,,,5.0,2.0,3.0,0.4,2.4,
12,8 yrs,8 yrs,SFO,,112,54,53,5,0.505,,,,5.0,2.0,3.0,0.4,2.1,
13,3 yrs,3 yrs,NOR,,44,15,29,0,0.341,,,,0.0,0.0,0.0,,3.0,
