Abbrev,win_pct,wins_exp,Round
KAN,0.67,11.43,3.57
RAV,0.65,11.02,3.33
PHI,0.62,10.46,3.12
BUF,0.58,9.93,2.63
DET,0.56,9.44,2.27
SFO,0.54,9.18,1.56
GNB,0.54,9.24,1.25
CIN,0.54,9.23,1.19
WAS,0.53,9.05,1.09
HTX,0.53,8.99,1.0
RAM,0.53,9.06,0.83
MIN,0.54,9.16,0.78
SDG,0.55,9.43,0.76
TAM,0.56,9.6,0.74
MIA,0.54,9.1,0.68
CHI,0.48,8.22,0.61
DEN,0.45,7.64,0.54
SEA,0.44,7.5,0.52
ATL,0.44,7.56,0.49
DAL,0.44,7.53,0.45
CRD,0.43,7.27,0.45
PIT,0.41,6.95,0.41
JAX,0.4,6.78,0.38
CLT,0.39,6.58,0.38
NOR,0.37,6.37,0.25
NWE,0.38,6.48,0.21
CAR,0.4,6.76,0.19
CLE,0.4,6.77,0.15
NYG,0.38,6.46,0.12
NYJ,0.35,5.88,0.12
RAI,0.3,5.08,0.1
OTI,0.27,4.67,0.09
